filename,number_of_events,mean_emissions,emissions_err,mean_duration,duration_err,mean_cpu_power,cpu_power_err,mean_ram_power,ram_power_err,mean_cpu_energy,cpu_energy_err,mean_ram_energy,ram_energy_err,cpu_energy_per_event,cpu_energy_per_event_err,ram_energy_per_event,ram_energy_per_event_err,duration_per_event,duration_per_event_err
20250730Int_metadata-1000-4.csv,1000,9.15683181063404e-06,9.476505291749736e-08,2.6420784076999553,0.027112661347092715,42.5,0.0,10.0,0.0,3.1200560470968585e-05,3.228917668168099e-07,7.34007823972105e-06,7.596953940249983e-08,3.1200560470968584e-08,3.228917668168099e-10,7.34007823972105e-09,7.596953940249983e-11,0.0026420784076999554,2.7112661347092715e-05
20250730Int_metadata-2000-4.csv,2000,9.163777870458764e-06,1.3805616861659798e-07,2.644370706300106,0.03981706551246592,42.5,0.0,10.0,0.0,3.1224562271601015e-05,4.704237131631373e-07,7.345312051110746e-06,1.1064768179645746e-07,1.561228113580051e-08,2.3521185658156866e-10,3.6726560255553728e-09,5.5323840898228735e-11,0.0013221853531500528,1.9908532756232962e-05
20250731Int_metadata-3000-4.csv,3000,3.7371626544574035e-06,1.9249850452021758e-07,3.818717524199383,0.19593031598503846,4.82763929448,0.003932600677796498,10.0,0.0,5.1222980659916386e-06,2.6506292523770586e-07,1.060722920361008e-05,5.451715044189232e-07,1.7074326886638795e-09,8.835430841256862e-11,3.5357430678700267e-09,1.8172383480630771e-10,0.0012729058413997944,6.531010532834615e-05
20250731Int_metadata-4000-4.csv,4000,3.786753535136146e-06,2.423705014374407e-07,3.8730038573001364,0.24570712014328716,4.821200021352,0.0020082303450395475,10.0,0.0,5.185279863647478e-06,3.3216033306580596e-07,1.0752972896943901e-05,6.879688923318014e-07,1.2963199659118695e-09,8.304008326645149e-11,2.6882432242359755e-09,1.7199222308295033e-10,0.0009682509643250341,6.142678003582179e-05
20250730Int_metadata-5000-4.csv,5000,9.460947958511304e-06,1.976547701561544e-07,2.72940284949982,0.05663580431786031,42.5,0.0,10.0,0.0,3.223710482965544e-05,6.735341720340511e-07,7.583543258056125e-06,1.583847562888641e-07,6.4474209659310874e-09,1.3470683440681023e-10,1.516708651611225e-09,3.167695125777282e-11,0.000545880569899964,1.1327160863572063e-05
20250731Int_metadata-6000-4.csv,6000,3.455274968763305e-06,9.016555422970942e-08,3.5348103719996287,0.09207182732885104,4.819263122135999,0.0010773151675245681,10.0,0.0,4.730025509144166e-06,1.238255437255433e-07,9.813050848613584e-06,2.556788299757915e-07,7.883375848573611e-10,2.0637590620923884e-11,1.6355084747689308e-09,4.261313832929858e-11,0.0005891350619999381,1.5345304554808506e-05
20250730Int_metadata-7000-4.csv,7000,9.23786360300841e-06,7.203724305924382e-08,2.6655767491000004,0.020805501844396404,42.5,0.0,10.0,0.0,3.147690144458655e-05,2.4543986592497675e-07,7.4047959530556304e-06,5.776124475542736e-08,4.4967002063695075e-09,3.506283798928239e-11,1.0578279932936616e-09,8.25160639363248e-12,0.0003807966784428572,2.9722145491994863e-06
20250731Int_metadata-8000-4.csv,8000,3.304791730835722e-06,2.4188869190297043e-08,3.3806688616998146,0.02512169030165326,4.81924537212,0.0006249837082657971,10.0,0.0,4.524037984918821e-06,3.324374904007445e-08,9.385662088888139e-06,6.856890834839756e-08,5.655047481148526e-10,4.155468630009306e-12,1.1732077611110174e-09,8.571113543549695e-12,0.00042258360771247683,3.1402112877066576e-06
20250730Int_metadata-9000-4.csv,9000,1.2517819308209175e-05,3.1476558813296736e-06,3.6144945605998147,0.911330760461555,42.5,0.0,10.0,0.0,4.26556060728404e-05,1.0727689485367093e-05,1.0031257831666762e-05,2.520633833035749e-06,4.739511785871155e-09,1.1919654983741215e-09,1.1145842035185291e-09,2.80070425892861e-10,0.00040161050673331275,0.00010125897338461722
20250730Int_metadata-10000-4.csv,10000,8.750179425595318e-06,1.478221582503973e-06,3.0779511307000575,0.10526882935522236,42.5,0.0,10.0,0.0,3.6333681848404675e-05,1.2423568457161297e-06,8.546850666666615e-06,2.922625317956354e-07,3.6333681848404674e-09,1.2423568457161297e-10,8.546850666666615e-10,2.922625317956354e-11,0.00030779511307000575,1.0526882935522235e-05
